NEGATIVE WORDS
waste -2.591799628365206
pointless -2.412343403044537
worst -2.2647573305874795
awful -2.202989347130819
poorly -2.1883002753776566
lame -1.952447458382779
horrible -1.8855580392441986
pathetic -1.8658626249822694
crap -1.8109723981059949
wasted -1.8071059156502391

POSITIVE WORDS
superb 1.7291775369757607
stewart 1.6328231774776718
wonderful 1.5835413543851509
fantastic 1.524643773413425
excellent 1.4836180155606264
amazing 1.4121403193051494
powerful 1.320283525629919
favorite 1.286204755295226
perfect 1.2658174741078723
brilliant 1.2481049090629552
